iter	Logloss
0	0.6876149859
1	0.6819408962
2	0.6764844622
3	0.6706305913
4	0.6651090349
5	0.6602631339
6	0.6549265276
7	0.6501621739
8	0.645645374
9	0.6404099343
110	0.6339661308111	0.6293173012112	0.6243087213	0.617465865
14	0.6131615848
15	0.6092083258
16	0.6043299081
17	0.5997234496
18	0.5942516189
19	0.5897863468
20	0.5848641321
21	0.5815095824
22	0.5775244909
23	0.5736271185
24	0.5695491285
25	0.5670754266
26	0.5630270064
27	0.5590847728
228	0.5646152419229	0.5611610691
30	0.5575727807
31	0.554336298
32	0.5511390624
33	0.5472589733
34	0.5438914098
35	0.5413713929
36	0.5382469635
37	0.5349218937
38	0.5321849045
39	0.528943595
40	0.5260911173
41	0.5226586888
4242	0.52034808543	0.5175769369
4444	0.51643284345	0.5136459569
46	0.5117823347
47	0.5086568382
48	0.5063234354
49	0.5038862781
50	0.5018437695
51	0.4997780915
52	0.4973310035
53	0.4945393766
54	0.4924027676
55	0.4900623156
556	0.48942402457	0.4860365832
5858	0.4849254065959	0.4831110276060	0.4808831351
61	0.4794076102
62	0.4769753047
63	0.4747933524
64	0.473248182
65	0.4712378911
66	0.4692633493
67	0.467298889268	0.4659289951
69	0.4637517998
70	0.46225643
71	0.4605956814
72	0.4586577887
73	0.4575384942
74	0.4558693608
75	0.4540576729
76	0.4528420107
777	0.455835865
78	0.4541242165
79	0.452767173
80	0.4513587799
81	0.4503670003
82	0.4489846292
83	0.447358966
84	0.4462977063
85	0.4450574271
86	0.4438215223
87	0.4421823759
88	0.44103532
89	0.4401682712
90	0.4385647171
91	0.4375000805
92	0.4368185379
93	0.4359309885
94	0.4344931286
95	0.4333524018
96	0.4323797532
97	97	0.4261264098	0.429539844
99	0.4283269168
100	0.4272127901
101	0.4261559062
102	0.4254013142
103	0.4243775581
104	0.4233943517
105	0.422594548
106	0.4215863378
107	0.4204632766
108	0.419842186
109	0.41894232
110	0.4179981843
111	0.4165555633
112	0.415525125
113	0.4147124187
114	0.4135273491
115	0.41274908
116	0.41116	0.407117	0.41117	0.4062798522
118	0.4052767484
119	0.404182682
120	0.4037252722
121	0.402552122	0.3909299091
123	0.3898394118
124	0.3887695129
125	0.3876105261
126	0.3868941387
127	0.3860769531
128	0.3852910322
129	0.3842240304
130	0.3828214493
131	0.3825337885
132	0.3817112345
133	0.380641585
134	0.38013607013135	0.37991278513136	0.37853629137137	0.37769628138138	0.3772222946
139	0.3763546019
140	0.3757692934
141	0.3753687752
142	0.3741695634
143	0.3732373758
144	0.3725899636
145	0.3715916824
146	0.3709523178
147	0.3700995616
148	0.3695285002
149	0.3689793662
150	0.3685312067
151	0.3681440843
152	0.3677034362
153	0.3672429854
154	0.3666796712
155	0.3661937972
156	0.3654158434
157	0.36502158	0.158	0.36444159	0.3832775298
160	0.3825233348
161	0.3818383241
162	0.3811841136
163	0.3809548696
164	0.3802217969
165	0.3792713467
166	0.3788043348
167	0.378298619
168	0.3779836362
169	0.3772261035
170	0.376370953
171	0.3758998774
172	0.3751390933
173	0.3743017645
174	0.3740806005
175	0.3738819742
176	0.3734989166
177	0.3730976838
178	0.3728500332
179	0.372384078
180	0.3719829771
181	0.371697592
182	0.3711415956
183	0.3707040342
184	0.3700186829
185	0.3695842466
186	0.3689887378
187	0.3684628094
188	0.3680751713
189	0.3679291071
190	0.3676080234
191	0.3668001467
192	0.3664179676
193	0.3659094561
194	0.3653088649
195	0.3649964996
196	0.3644536556
197	0.3640585915
198	0.3634180198	199	0.3631629199	0.3531530653
200	0.3526306152
201	0.3521139417
202	0.3517233167
203	0.3512437003
204	0.3506544113
205	0.3501752581
206	0.3498070853
207	0.3495683398
208	0.3491995675
209	0.3488735744
210	0.3484108516
211	0.3480124065
212	0.347567531
213	0.3471889496
214	0.346812548
215	0.3465494973
216	0.3461453029
217	0.3457390376
218	0.3453423636
219	0.3450710297
220	0.3446952002
221	0.3440098081
222	0.3436794553
223	0.3432292393
224	0.3427602495
225	0.342666517
226	0.3424180167
227	0.3419891357
228	0.3417370387
229	0.3412800108
230	0.3407664708
231	0.3404085977
232	0.3400267192
233	0.3395399366
234	0.3390955244
235	0.3385940552
236	0.3379480089
237	0.3375905718
238	0.3372559684
239	0.336819022
240	0.3364816121
241	0.3357318061
242	0.3354588645
243	0.3353113719
244	0.3351182665
245	0.3348651886
246	0.3346267973
247	0.3345054082
248	0.3342294693
249	0.333953258
250	0.3336234774
251	0.332897486
